id,prefecture,prefecture_jp,region,name,name_jp,type,address,google_maps_url,lat,lng,contact_person,contact_phone,contact_whatsapp,contact_email,donation_info,notes
tokyo-camii,Tokyo,東京都,Kanto,Tokyo Camii & Diyanet Turkish Culture Center,東京ジャーミイ・トルコ文化センター,Masjid,"1-19 Oyama-cho, Shibuya-ku, Tokyo 151-0065",https://maps.google.com/?q=Tokyo+Camii+Tokyo,35.6681,139.6766,Imam & Administration Office,+81-3-5790-0760,+81357900760,info@tokyocamii.org,Japan Post Bank (Yucho) / Bank transfer available on website,Largest mosque in Japan. Jummah prayer available. Halal market on 1st floor.
otsuka-masjid,Tokyo,東京都,Kanto,Otsuka Masjid (Japan Islamic Trust),大塚マスジド (日本イスラム文化交流会),Masjid,"3-42-7 Minami-Otsuka, Toshima-ku, Tokyo 170-0005",https://maps.google.com/?q=Otsuka+Masjid+Tokyo,35.7289,139.7282,Qari Muhammad / Secretariat,+81-3-3971-5631,+81339715631,info@islamfoundation.jp,Yucho Bank Account: Japan Islamic Trust / PayPay accepted,Near JR Otsuka Station. Daily 5 prayers, Jummah, Halal food distribution.
asakusa-masjid,Tokyo,東京都,Kanto,Asakusa Mosque (Darul Arqam),浅草マスジド (ダルル・アルカム),Masjid,"1-9-11 Higashi-Asakusa, Taito-ku, Tokyo 111-0025",https://maps.google.com/?q=Asakusa+Mosque+Tokyo,35.7196,139.8005,ICOJ Administration,+81-3-3874-9477,,info@icoj.org,ICOJ Central Donation Account (Mizuho Bank & Yucho),Near Asakusa. Jummah prayers, library, Nikah services available.
okachimachi-masjid,Tokyo,東京都,Kanto,Okachimachi Mosque (Assalaam Masjid),御徒町マスジド (アッサラーム財団),Masjid,"4-6-7 Taito, Taito-ku, Tokyo 110-0016",https://maps.google.com/?q=Assalaam+Masjid+Okachimachi,35.7061,139.7788,Assalaam Foundation Team,+81-3-3836-3533,,info@assalaamfoundation.org,Assalaam Foundation (Sumitomo Mitsui Banking Corp),Close to Ueno & Okachimachi stations. Halal restaurants nearby.
makki-masjid,Tokyo,東京都,Kanto,Makki Masjid (Yotsugi Mosque),マッキマスジド (四ツ木モスク),Masjid,"4-20-4 Yotsugi, Katsushika-ku, Tokyo 124-0011",https://maps.google.com/?q=Makki+Masjid+Yotsugi+Tokyo,35.7368,139.8398,Masjid Committee,+81-3-5670-7426,,info@makkimasjid.jp,Bank transfer to Katsushika Islamic Center,5 minutes walk from Yotsugi Station on Keisei Line.
shinjuku-musalla,Tokyo,東京都,Kanto,Shinjuku Musalla & Halal Center,新宿プレイヤールーム,Prayer Room,"Hyakunincho 2-11-24, Shinjuku-ku, Tokyo 169-0073",https://maps.google.com/?q=Shin-Okubo+Islamic+Center+Tokyo,35.7022,139.7003,Islamic Center Management,+81-3-5330-8025,,contact@shinjuku-islamic.org,Donation box on-site for rent and maintenance,Close to Shin-Okubo station in Tokyo Halal street.
kamata-masjid,Tokyo,東京都,Kanto,Kamata Masjid,蒲田マスジド,Masjid,"5-1-2 Kamata, Ota-ku, Tokyo 144-0052",https://maps.google.com/?q=Kamata+Masjid+Tokyo,35.5625,139.7155,Kamata Islamic Center,+81-3-6424-8840,,info@kamatamasjid.com,Yucho Bank transfer (Kamata Muslim Association),Near JR Kamata Station. Convenient for Haneda Airport travelers.
yokohama-masjid,Kanagawa,神奈川県,Kanto,Yokohama Jame Masjid,横浜ジャーミィ,Masjid,"1-31-13 Hayabuchi, Tsuzuki-ku, Yokohama, Kanagawa 224-0025",https://maps.google.com/?q=Yokohama+Jame+Masjid,35.5413,139.6012,Yokohama Muslim Association,+81-45-593-3543,,yma@yokohamamasjid.com,Yucho Bank: Yokohama Muslim Association,Spacious masjid in Yokohama with dedicated parking and Islamic school.
ebina-masjid,Kanagawa,神奈川県,Kanto,Ebina Masjid,海老名マスジド,Masjid,"3-12-1 Kami-imaizumi, Ebina-shi, Kanagawa 243-0401",https://maps.google.com/?q=Ebina+Masjid+Kanagawa,35.4612,139.3945,Ebina Muslim Committee,+81-46-234-7080,,ebinamasjid@gmail.com,Local bank transfer & cash donation box,Near Ebina station. Serves Muslim community in central Kanagawa.
yashio-masjid,Saitama,埼玉県,Kanto,Yashio Masjid,八潮マスジド,Masjid,"2-10-1 Yashio, Saitama 340-0815",https://maps.google.com/?q=Yashio+Masjid+Saitama,35.8152,139.8401,Yashio Islamic Trust,+81-48-998-8884,,info@yashiomasjid.org,Saitama Resona Bank / Yucho,Active community hub with Halal shops and restaurant nearby.
saitama-masjid,Saitama,埼玉県,Kanto,Saitama City Islamic Culture Center,さいたま市イスラム文化センター,Masjid,"1-14-11 Bessho, Minami-ku, Saitama-shi, Saitama 336-0021",https://maps.google.com/?q=Saitama+City+Islamic+Culture+Center,35.8456,139.6465,SCICC Management,+81-48-862-7788,,scicc@islamiccenter.jp,Yucho Bank Account (SCICC),Near Musashi-Urawa station. Weekly programs and Arabic classes.
chiba-masjid,Chiba,千葉県,Kanto,Chiba Islamic Cultural Center (CICC),千葉イスラーム文化センター,Masjid,"3-15-20 Todoroki-cho, Inage-ku, Chiba-shi, Chiba 263-0021",https://maps.google.com/?q=Chiba+Islamic+Cultural+Center,35.6321,140.1132,Sugimoto-san / CICC Office,+81-43-255-7003,+81432557003,info@cicc-japan.org,Chiba Bank / Yucho: Chiba Islamic Cultural Center,Close to Chiba University. Offers Halal consultation & Japanese Islamic lectures.
gyotoku-masjid,Chiba,千葉県,Kanto,Hira Masjid (Gyotoku Mosque),ヒラマスジド (行徳モスク),Masjid,"3-3-19 Gyotoku Ekimae, Ichikawa, Chiba 272-0133",https://maps.google.com/?q=Hira+Masjid+Gyotoku,35.6821,139.9142,ICOJ Gyotoku Branch,+81-47-395-8400,,gyotoku@icoj.org,ICOJ Central Account,Near Gyotoku station (Tokyo Metro Tozai line). Very vibrant community.
